archivo,pendiente,error_pendiente,intercepto,error_intercepto,R2
IvsV_PY_Vg-10mV_010925_Vbias10mV,0.0007684790138418691,1.6835086188429808e-07,6.00960862138899e-09,9.767043200505128e-10,0.999990497722094
IvsV_PY_Vg-1V_010925_Vbias10mV,0.0007597250100819108,1.531548504010241e-07,1.981289204397193e-08,8.885385195233781e-10,0.9999919534380475
IvsV_PY_Vg-2V_010925_Vbias10mV,0.0007611672453416979,1.6958580431391057e-07,3.1378047268581935e-07,9.838605169909367e-10,0.9999901716699997
IvsV_PY_Vg-4V_010925_Vbias10mV,0.0007542857716005721,8.827388819036537e-07,5.457463949433776e-06,5.12101882809908e-09,0.9997288933841759
IvsV_PY_Vg-5V_010925_Vbias10mV,0.0007979025917210769,6.180858012523997e-06,1.4922850319690323e-05,3.586152048171577e-08,0.9882582341809898
IvsV_PY_Vg-5V_010925_Vbias10mV_2,0.0007710933268070744,3.012273866075387e-06,1.3672440689746877e-05,1.748058156058064e-08,0.99698748017619
IvsV_PY_Vg-5mV_010925_Vbias10mV,0.0007690565826729875,1.7706744633202136e-07,7.0762824395264896e-09,1.0272896458331541e-09,0.9999895040563085
IvsV_PY_Vg-6mV_010925_Vbias10mV,0.0007667064189827106,1.7210951766643162e-07,5.878164852543717e-09,9.98522472300487e-10,0.9999900227137205
IvsV_PY_Vg-7mV_010925_Vbias10mV,0.000764784260674818,1.3987557177533212e-07,6.9799986687421804e-09,8.115244558347302e-10,0.99999337679526
IvsV_PY_Vg-8mV_010925_Vbias10mV,0.0007636165597856348,1.6413215439390993e-07,1.099151207711466e-09,9.522584850640093e-10,0.9999908525955472
IvsV_PY_Vg-9mV_010925_Vbias10mV,0.000767537001692888,1.4864379187505796e-07,5.767385836286991e-09,8.623591897706097e-10,0.9999925739670186
IvsV_PY_Vg0V_010925_Vbias10mV,0.0007749249399910703,1.5293435524223454e-07,6.331024520398311e-09,8.872713199301791e-10,0.9999922882547018
IvsV_PY_Vg0_010925_Vbias0p1mV,1.5137732492936746e-07,3.2181600633388675e-07,3.5547191553585646e-11,1.861294776397135e-11,0.0022526870463244063
IvsV_PY_Vg0_010925_Vbias10uV,-2.2485886550310676e-07,1.6929252010895788e-06,5.396237182755601e-12,9.512022839364318e-12,0.0001799866278913894
IvsV_PY_Vg0_010925_Vbias1mV,4.1954365304945903e-08,2.401722239497594e-08,2.116943048917398e-11,1.3931065020450998e-11,0.030197161846778092
IvsV_PY_Vg0_010925_Vbias1mV_2,6.505475715933202e-10,1.7294548810580327e-08,-4.7023000068749835e-12,1.0032935487824386e-11,1.4438008768050442e-05
IvsV_PY_Vg0_010925_Vbias1mV_3,0.0003248060015689997,2.7577949976880547e-07,-6.271025637155681e-09,1.5940382713170518e-10,0.9999653979301821
IvsV_PY_Vg0_010925_Vbias1mV_4,0.00032369876661801677,1.9649868228990222e-07,-4.136687725491285e-09,1.1376956191590654e-10,0.9999086204134288
IvsV_PY_Vg10mV_010925_Vbias10mV,0.000771870828028712,1.898545414638191e-07,2.1628663824470724e-09,1.1014761058614177e-09,0.9999880212165677
IvsV_PY_Vg1V_010925_Vbias10mV,0.0007646550933022806,5.210540873053898e-07,-1.3665153747392167e-07,3.022864831550143e-09,0.9999080694822345
IvsV_PY_Vg2V_010925_Vbias10mV,0.0007651959832219857,1.5342787038600017e-06,-2.1385424621384306e-06,8.901009449807464e-09,0.9992046051623228
IvsV_PY_Vg3V_010925_Vbias10mV,0.0007784414616471237,3.5467011181153064e-07,-9.337279051170137e-06,2.05831980092724e-09,0.9999588997366049
IvsV_PY_Vg4V_010925_Vbias10mV,0.0007955864460082558,7.005051023731792e-07,-3.1402547930486555e-05,4.064993952536878e-09,0.9998465219102831
IvsV_PY_Vg5V_010925_Vbias10mV,0.0008387019670442223,4.350845700159012e-06,-8.598834143091717e-05,2.524799846018077e-08,0.9946998363801223
IvsV_PY_Vg5mV_010925_Vbias10mV,0.0007714744872487964,2.0183793954212446e-07,2.3911902332736424e-09,1.1710163177790226e-09,0.999986447426366
IvsV_PY_Vg6mV_010925_Vbias10mV,0.0007717857365886956,2.1453588023977755e-07,2.7450995549421835e-09,1.2446862261212868e-09,0.9999847009338358
IvsV_PY_Vg7mV_010925_Vbias10mV,0.0007726897121241678,1.770016137418805e-07,5.277744060690326e-09,1.0268884621080015e-09,0.9999896102554464
IvsV_PY_Vg8mV_010925_Vbias10mV,0.0007750970117631027,1.6432713124050686e-07,8.215594730754586e-09,9.53370148509298e-10,0.9999911004561501
IvsV_PY_Vg9mV_010925_Vbias10mV,0.0007717430521944181,3.2257083340552053e-07,4.193050701138134e-09,1.8714423764291417e-09,0.9999654096542153
