Archivo;Pendiente;Error_Pendiente;Intercepto;Error_Intercepto;Vgate(V)
IvsV_4wire_30pts__50nA_Vc5mV.txt;1426.756;37.21806;0.000532338;0.000794321;0
IvsV_4wires_I36_50nA_V45_Vcom5mA_30pts_1iter.txt;772.8821;0.9329744;0.001587462;3.84039E-05;0
IvsV_4wires_Isd_36_50nA_Vsd_45.txt;1675.444;3.759695;0.01086911;7.28032E-05;0
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-100mV.txt;5042.169;39.5237;0.04820944;0.000446487;-0.1
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-1V.txt;5002.015;34.12756;0.04789107;0.000386873;-1
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-200mV.txt;5016.002;39.21932;0.04438817;0.000420443;-0.2
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-20mV.txt;5114.445;35.59997;0.04564655;0.000381613;-0.02
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-2V.txt;5150.479;35.75306;0.04576308;0.000381246;-2
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-300mV.txt;5130.552;36.16013;0.04679593;0.000393146;-0.3
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-3V.txt;4980.712;35.23488;0.04641594;0.000392363;-3
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-4V.txt;5133.602;35.94447;0.04655107;0.00038914;-4
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-5V.txt;4486.724;43.27705;0.04237225;0.000502519;-5
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate100mV.txt;5196.485;41.71387;0.05098892;0.000476204;0.1
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate1V.txt;5197.796;38.60767;0.04904506;0.000428371;1
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate200mV.txt;5120.309;39.34157;0.04642628;0.000426159;0.2
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate20mV.txt;5097.482;38.13508;0.04609528;0.000412893;0.02
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate2V.txt;5161.536;51.71613;0.05160532;0.000599419;2
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate300mV.txt;5151.387;33.87154;0.04959786;0.000382356;0.3
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate3V.txt;5150.479;35.75306;0.04576308;0.000381246;3
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate4V.txt;4810.303;36.20629;0.04382871;0.000401309;4
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate5V.txt;5110.179;40.88537;0.04713948;0.000448503;5
