Archivo,Pendiente,Error_Pendiente,Intercepto,Error_Intercepto
IvsV_4wire_30pts__50nA_Vc5mV.txt,1.426756E-03,3.721806E-05,5.323380E-10,7.943212E-10
IvsV_4wires_I36_50nA_V45_Vcom5mA_30pts_1iter.txt,7.728821E-04,9.329744E-07,1.587462E-09,3.840386E-11
IvsV_4wires_Isd_36_50nA_Vsd_45.txt,1.675444E-03,3.759695E-06,1.086911E-08,7.280316E-11
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-100mV.txt,5.042169E-03,3.952370E-05,4.820944E-08,4.464870E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-1V.txt,5.002015E-03,3.412756E-05,4.789107E-08,3.868730E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-200mV.txt,5.016002E-03,3.921932E-05,4.438817E-08,4.204425E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-20mV.txt,5.114445E-03,3.559997E-05,4.564655E-08,3.816125E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-2V.txt,5.150479E-03,3.575306E-05,4.576308E-08,3.812461E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-300mV.txt,5.130552E-03,3.616013E-05,4.679593E-08,3.931458E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-3V.txt,4.980712E-03,3.523488E-05,4.641594E-08,3.923627E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-4V.txt,5.133602E-03,3.594447E-05,4.655107E-08,3.891395E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate-5V.txt,4.486724E-03,4.327705E-05,4.237225E-08,5.025189E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate100mV.txt,5.196485E-03,4.171387E-05,5.098892E-08,4.762038E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate1V.txt,5.197796E-03,3.860767E-05,4.904506E-08,4.283705E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate200mV.txt,5.120309E-03,3.934157E-05,4.642628E-08,4.261586E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate20mV.txt,5.097482E-03,3.813508E-05,4.609528E-08,4.128934E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate2V.txt,5.161536E-03,5.171613E-05,5.160532E-08,5.994189E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate300mV.txt,5.151387E-03,3.387154E-05,4.959786E-08,3.823563E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate3V.txt,5.150479E-03,3.575306E-05,4.576308E-08,3.812461E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate4V.txt,4.810303E-03,3.620629E-05,4.382871E-08,4.013094E-10
IvsV_4wires_Isd_36_50nA_Vsd_45_Vgate5V.txt,5.110179E-03,4.088537E-05,4.713948E-08,4.485026E-10
