X,Y
305.18,403.786
310.9,385.429
316.613,373.643
322.324,365.5
328.032,360.429
333.734,371
339.434,373.714
345.132,387.786
350.821,385.5
356.511,379.286
362.194,374.143
367.877,365.429
373.552,373.571
379.224,378.643
384.894,372.786
390.559,364.214
396.221,369.857
401.881,366.286
407.533,366.071
413.184,359.857
418.832,353.929
424.474,358.5
430.117,362.429
435.752,360.857
441.383,346.357
447.011,335.857
452.636,331.071
458.253,319.357
463.871,326.429
469.485,335.286
475.096,342.643
480.7,357.5
486.304,379.929
491.9,394.071
497.497,457.143
503.087,611.071
508.673,1534.29
514.258,6122.71
519.838,8862.93
525.414,2960.57
530.986,799.929
536.556,570.929
542.121,479.714
547.682,433.857
553.241,420.5
558.794,424.643
564.345,397.857
569.892,384.286
575.435,388.643
580.973,371.143
586.512,380.286
592.043,383.357
597.571,366.714
603.096,376.786
608.617,387.929
614.135,385.5
619.65,385.286
625.157,376.071
630.665,366.071
636.169,353.786
641.668,344.429
647.164,342.929
652.655,344.429
658.144,350.357
663.63,358.071
669.11,360.857
674.59,363.071
680.061,355.357
685.534,349.429
690.999,343.357
696.461,328.357
701.922,329.857
707.377,328.357
712.83,326.714
718.278,312.5
723.724,311
729.164,310.5
734.603,307.286
740.037,302.786
745.467,301.071
750.895,302.5
756.318,303.143
761.739,307.857
767.154,306.643
772.569,309.5
777.977,312.143
783.383,312.714
788.784,311.929
794.183,317
799.581,322.929
804.969,326.286
810.359,330.214
815.741,329.857
821.124,333.143
826.5,327.643
831.876,328.357
837.244,326.714
842.61,324.571
847.973,329.143
853.335,325
858.689,337.786
864.041,328.143
869.391,331.214
874.736,332
880.078,330.286
885.416,333.929
890.75,334.286
896.082,334.929
901.409,330.786
906.733,333.714
912.054,339.143
917.372,349.286
922.684,375.571
927.996,445.143
933.302,559.714
938.605,650.357
943.905,674.714
949.201,673.214
954.493,673.714
959.784,676.071
965.069,680.143
970.351,687.571
975.628,686.714
980.906,662.786
986.177,596.929
991.445,504.571
996.71,442.429
1001.97,404.714
1007.23,384.357
1012.48,367.429
1017.73,348.857
1022.98,335.5
1028.23,321.857
1033.46,311.714
1038.7,300.929
1043.94,289.643
1049.17,289.143
1054.4,287.143
1059.62,285.571
1064.84,283.786
1070.06,284.071
1075.27,283.429
1080.48,285.643
1085.68,285.214
1090.88,283.286
1096.09,288.357
1101.28,286.571
1106.47,282.143
1111.66,283.071
1116.85,284.143
1122.03,283.571
1127.21,283.071
1132.38,282.286
1137.56,279.286
1142.72,282.857
1147.89,280.857
1153.05,283.857
1158.21,279.214
1163.36,279.5
1168.52,282.929
1173.66,278.643
1178.81,281.643
1183.95,278.786
1189.09,280.143
1194.22,278.857
1199.35,277
1204.48,281.143
1209.61,280.429
1214.73,276.5
1219.85,277.214
1224.96,279.357
1230.07,280.929
1235.18,279.286
1240.28,281.143
1245.38,283.786
1250.48,280.786
1255.57,282.286
1260.67,281.429
1265.75,281
1270.84,279.429
1275.92,282.214
1281,281.429
1286.07,284.071
1291.14,288
1296.21,284.643
1301.27,281.429
1306.33,285.714
1311.39,282.643
1316.44,293.214
1321.49,290
1326.54,293.929
1331.59,302.857
1336.63,309.5
1341.67,315.786
1346.7,313.143
1351.73,312.714
1356.76,307.429
