archivo;pendiente;error_pendiente;intercepto;error_intercepto;R2;R3
IvsV_PY_Vg-10mV_010925_Vbias10mV;1.30126E+4;2.85067E+4;-7820039577;12709534314;9.9999E+4;-1.00E-02
IvsV_PY_Vg-1V_010925_Vbias10mV;1.31626E+4;2.65347E+4;-2.60788E+11;1169561482;9.99992E+4;-1
IvsV_PY_Vg-2V_010925_Vbias10mV;1.31376E+4;2.92702E+4;-4.12232E+4;12958448375;9.9999E+4;-2
IvsV_PY_Vg-4V_010925_Vbias10mV;1.3254E+4;1.55111E+4;-7.23331E+4;1.08518E+11;9.99729E+4;-3
IvsV_PY_Vg-5V_010925_Vbias10mV;1.23857E+4;9.59444E+4;-1.8483E+4;1.49991E+4;9.88258E+4;-4
IvsV_PY_Vg-5V_010925_Vbias10mV_2;1.29295E+4;5.05092E+4;-1.76778E+4;72675792332;9.96987E+13;-5
IvsV_PY_Vg-5mV_010925_Vbias10mV;1.30028E+4;2.99376E+4;-9201134388;13357743740;9.9999E+4;-5.00E-03
IvsV_PY_Vg-6mV_010925_Vbias10mV;1.30427E+4;2.92781E+4;-7666678989;13023482792;9.9999E+4;-6.00E-03
IvsV_PY_Vg-7mV_010925_Vbias10mV;1.30755E+4;2.39145E+4;-9126680501;10611139442;9.99993E+13;-7.00E-03
IvsV_PY_Vg-8mV_010925_Vbias10mV;1.30955E+4;2.81474E+4;-1439369717;12470319455;9.99991E+4;-8.00E-03
IvsV_PY_Vg-9mV_010925_Vbias10mV;1.30286E+4;2.52316E+4;-7514076495;11235381352;9.99993E+4;-9.00E-03
IvsV_PY_Vg0V_010925_Vbias10mV;1.29044E+4;2.54673E+4;-8169778123;11449743383;9.99992E+4;0
IvsV_PY_Vg0_010925_Vbias0p1mV;1.48813E+4;3.16364E+4;683772400.8;5943064959;2.25269E+4;0
IvsV_PY_Vg0_010925_Vbias10uV;-8.00443E+4;6.0264E+4;11389524938;556688885.8;1.79987E+4;0
IvsV_PY_Vg0_010925_Vbias1mV;7.19762E+4;4.12035E+4;-1.42047E+11;58360124136;3.01972E+4;0
IvsV_PY_Vg0_010925_Vbias1mV_2;2.21936E+4;5.90009E+4;13122655674;5.86662E+11;1.4438E+11;0
IvsV_PY_Vg0_010925_Vbias1mV_3;3.07865E+4;2.61396E+4;1.92891E+11;504915854.4;9.99965E+4;0
IvsV_PY_Vg0_010925_Vbias1mV_4;3.08901E+4;1.87516E+4;1.27693E+11;352849996.5;9.99909E+4;0
IvsV_PY_Vg10mV_010925_Vbias10mV;1.29554E+4;3.18659E+4;-2802049831;1427013167;9.99988E+4;1.00E-02
IvsV_PY_Vg1V_010925_Vbias10mV;1.30766E+4;8.9107E+4;1.78694E+4;3954887690;9.99908E+4;1
IvsV_PY_Vg2V_010925_Vbias10mV;1.30582E+4;2.61826E+4;2.79254E+4;1.29036E+11;9.99205E+4;2
IvsV_PY_Vg3V_010925_Vbias10mV;1.28457E+4;5.85268E+4;1.19943E+4;6069734044;9.99959E+4;3
IvsV_PY_Vg4V_010925_Vbias10mV;1.25674E+4;1.10655E+4;3.94649E+4;35119972590;9.99847E+4;4
IvsV_PY_Vg5V_010925_Vbias10mV;1.186E+4;6.15248E+4;1.01982E+4;5.29872E+4;9.947E+4;5
IvsV_PY_Vg5mV_010925_Vbias10mV;1.2962E+4;3.3912E+4;-30994390288;15178839639;9.99986E+4;5.00E-03
IvsV_PY_Vg6mV_010925_Vbias10mV;1.29568E+4;3.60164E+4;-3556729998;16127237754;9.99985E+4;6.00E-03
IvsV_PY_Vg7mV_010925_Vbias10mV;1.29417E+4;2.96458E+4;-68302628482;13289736134;9.9999E+4;7.00E-03
IvsV_PY_Vg8mV_010925_Vbias10mV;1.29015E+4;2.73523E+4;-1.05993E+11;122999847.4;9.99991E+4;8.00E-03
IvsV_PY_Vg9mV_010925_Vbias10mV;1.29572E+4;5.41582E+4;-54329639560;2424915170;9.99965E+4;9.00E-03
