X,Y
305.18,407.643
310.9,387.857
316.613,370.643
322.324,370
328.032,366.929
333.734,372.286
339.434,377.643
345.132,390.5
350.821,383.143
356.511,372.571
362.194,367.5
367.877,366
373.552,369.571
379.224,374.286
384.894,366.357
390.559,363.714
396.221,367.786
401.881,364.5
407.533,363.5
413.184,353
418.832,357.214
424.474,360.714
430.117,359.357
435.752,357.571
441.383,344.786
447.011,332.929
452.636,331
458.253,318.786
463.871,320.214
469.485,329
475.096,338.214
480.7,354.643
486.304,384.214
491.9,401
497.497,443.786
503.087,561.286
508.673,1145.86
514.258,5215.43
519.838,10912.6
525.414,3280.29
530.986,837
536.556,581.214
542.121,482.786
547.682,438.214
553.241,415.786
558.794,420.214
564.345,387.714
569.892,376.571
575.435,371.286
580.973,359.929
586.512,362.571
592.043,374.5
597.571,368.643
603.096,371.357
608.617,369.786
614.135,381.929
619.65,396.929
625.157,383.071
630.665,369
636.169,362.5
641.668,364.429
647.164,358.143
652.655,362.429
658.144,365.643
663.63,374.714
669.11,375.857
674.59,361.929
680.061,343.714
685.534,332.571
690.999,326.714
696.461,320.714
701.922,322.214
707.377,317.929
712.83,318.5
718.278,309.357
723.724,309.857
729.164,306.071
734.603,301.571
740.037,299.5
745.467,297.286
750.895,298.5
756.318,299.286
761.739,302.143
767.154,304.714
772.569,304
777.977,307.714
783.383,310.571
788.784,312.571
794.183,315.786
799.581,324.643
804.969,325.571
810.359,329.571
815.741,330.429
821.124,335.286
826.5,330.643
831.876,326.714
837.244,325
842.61,325.429
847.973,327.929
853.335,325.214
858.689,333.286
864.041,327.429
869.391,327
874.736,328.786
880.078,332.286
885.416,335.786
890.75,332.5
896.082,331.357
901.409,334.357
906.733,335.643
912.054,341.571
917.372,350.5
922.684,372.714
927.996,450
933.302,571.143
938.605,704
943.905,723.214
949.201,714.5
954.493,720.072
959.784,729
965.069,736.929
970.351,745.786
975.628,736.214
980.906,726.571
986.177,652.357
991.445,545.071
996.71,463.643
1001.97,417.929
1007.23,395.786
1012.48,375.214
1017.73,359.643
1022.98,339.643
1028.23,325.429
1033.46,313
1038.7,295.214
1043.94,281.857
1049.17,282
1054.4,283.429
1059.62,277.071
1064.84,279.286
1070.06,276.714
1075.27,278.143
1080.48,277.286
1085.68,277.786
1090.88,276.286
1096.09,280.071
1101.28,274.429
1106.47,275.214
1111.66,275.143
1116.85,274.214
1122.03,276
1127.21,274.643
1132.38,276
1137.56,273.857
1142.72,276.071
1147.89,275.857
1153.05,277.071
1158.21,272.857
1163.36,274.786
1168.52,272.5
1173.66,272
1178.81,272.929
1183.95,270.429
1189.09,272.714
1194.22,271.571
1199.35,272.143
1204.48,273.714
1209.61,272.214
1214.73,271.714
1219.85,272.143
1224.96,273.786
1230.07,273.5
1235.18,273.5
1240.28,272.357
1245.38,278.571
1250.48,273.643
1255.57,274.5
1260.67,272.643
1265.75,273.357
1270.84,272.143
1275.92,273.357
1281,273.143
1286.07,271.929
1291.14,277.429
1296.21,274.786
1301.27,271.786
1306.33,272.143
1311.39,275.429
1316.44,279.5
1321.49,277.643
1326.54,277.571
1331.59,275.643
1336.63,278.929
1341.67,276.071
1346.7,277.357
1351.73,279.429
1356.76,277.857
1361.78,276.286
1366.8,278.286
1371.82,280.143
1376.83,273.786
1381.85,275.071
1386.85,274.286
1391.86,274.857
1396.86,273.071
1401.86,274.571
1406.85,275.429
1411.84,272.071
1416.83,273.571
1421.81,273.429
1426.79,278.643
1431.77,275.643
1436.75,276.143
1441.72,273.857
1446.69,275.714
1451.65,278
1456.62,276.071
1461.58,278.857
1466.53,276.571
1471.48,275.429
1476.43,273.857
1481.38,275.5
1486.32,275.214
1491.26,275.929
1496.19,275
1501.13,277
1506.05,277.286
1510.98,277.643
1515.9,279.857
1520.82,276
1525.74,280.286
1530.65,279.714
1535.56,281.429
1540.47,281.286
1545.37,286.786
1550.27,292.143
1555.17,309.643
1560.06,324.5
1564.95,369.571
1569.84,464.143
1574.72,654.643
1579.61,820.857
1584.48,720.214
1589.36,518.571
1594.23,385.786
1599.1,333.786
1603.96,314.857
1608.82,300.071
1613.68,290.286
1618.54,292.857
1623.39,285.429
1628.24,280
1633.08,277
1637.93,275.857
1642.76,273.857
1647.6,275.714
1652.43,274.429
1657.26,275.214
1662.09,276.357
1666.91,284.214
1671.73,271.857
1676.55,272.429
1681.36,270.571
1686.18,269.643
1690.98,271.929
1695.79,272.643
1700.59,272.714
1705.39,273.357
1710.18,269.643
1714.97,277.143
1719.76,273
1724.55,272.357
1729.33,274.714
1734.11,277.214
1738.89,271.786
1743.66,272.214
1748.43,273.286
1753.2,272.143
1757.96,272.286
1762.72,272.071
1767.48,271
1772.23,271.714
1776.98,273.286
1781.73,272.5
1786.47,270.643
1791.22,271.357
1795.95,271.357
1800.69,274.143
1805.42,270.5
1810.15,270.071
1814.88,269.857
1819.6,269.857
1824.32,273.714
1829.04,272
1833.75,271.071
1838.46,270.429
1843.17,273.429
1847.87,272.643
1852.58,275.214
1857.27,274.5
1861.97,275.214
1866.66,275.643
1871.35,274.786
1876.04,273.857
1880.72,273.071
1885.4,274.286
1890.07,274.643
1894.75,273.071
1899.42,272.143
1904.09,272
1908.75,273.286
1913.42,272.571
1918.07,272.929
1922.73,272.5
1927.38,271.929
1932.03,270.929
1936.67,276.286
1941.32,276.714
1945.96,273.357
1950.59,274.929
1955.23,274.357
1959.86,273.429
1964.49,273.571
1969.11,275.786
1973.73,274.143
1978.35,272.786
1982.97,275.571
1987.58,276.071
1992.19,275.929
1996.8,279.286
2001.4,275.214
2006,276.143
2010.6,278
2015.19,279.214
2019.78,274.143
2024.37,275.643
2028.96,275.214
2033.54,273.786
2038.12,273.714
2042.7,274.286
2047.27,274.714
2051.84,278
2056.41,271.714
2060.97,272.857
2065.53,276.643
2070.09,275.571
2074.65,275
2079.2,272.786
2083.75,274.429
2088.3,276.214
2092.84,272.714
2097.38,272.571
2101.92,272.5
2106.45,273.571
2110.98,272.5
2115.51,270.714
2120.04,270.143
2124.56,271.714
2129.08,271.857
